ICD10;Tekst
M0187;"Artritt v/and inf/paras sykd KAS;ankel/fot/tå"
M0188;"Artritt v/and inf/paras sykd KAS;andre lokalis"
M0189;"Artritt v/and inf/paras sykd KAS;uspes lokalis"
M020;"Leddlidelse etter tarm-""bypass"""
M0200;"Leddlidelse etter tarm-""bypass"";flere lokalis"
M0201;"Leddlidelse etter tarm-""bypass"";skulderreg"
M0202;"Leddlidelse etter tarm-""bypass"";overarm/albue"
M0203;"Leddlidelse etter tarm-""bypass"";underarm/håndl"
M0204;"Leddlidelse etter tarm-""bypass"";hånd/fingre"
M0205;"Leddlidelse etter tarm-""bypass"";bekken/lår"
M0206;"Leddlidelse etter tarm-""bypass"";legg/kne"
M0207;"Leddlidelse etter tarm-""bypass"";ankel/fot/tå"
M0208;"Leddlidelse etter tarm-""bypass"";andre lokalis"
M0209;"Leddlidelse etter tarm-""bypass"";uspes lokalis"
M021;Leddlidelse etter dysenteri
M0210;"Leddlidelse etter dysenteri;flere lokalis"
M0211;"Leddlidelse etter dysenteri;skulderreg"
M0212;"Leddlidelse etter dysenteri;overarm/albue"
M0213;"Leddlidelse etter dysenteri;underarm/håndl"
M0214;"Leddlidelse etter dysenteri;hånd/fingre"
M0215;"Leddlidelse etter dysenteri;bekken/lår"
M0216;"Leddlidelse etter dysenteri;legg/kne"
M0217;"Leddlidelse etter dysenteri;ankel/fot/tå"
M0218;"Leddlidelse etter dysenteri;andre lokalis"
M0219;"Leddlidelse etter dysenteri;uspes lokalis"
M022;Leddlidelse etter vaksinasjon
M0220;"Leddlidelse etter vaksinasjon;flere lokalis"
M0221;"Leddlidelse etter vaksinasjon;skulderreg"
M0222;"Leddlidelse etter vaksinasjon;overarm/albue"
M0223;"Leddlidelse etter vaksinasjon;underarm/håndl"
M0224;"Leddlidelse etter vaksinasjon;hånd/fingre"
M0225;"Leddlidelse etter vaksinasjon;bekken/lår"
M0226;"Leddlidelse etter vaksinasjon;legg/kne"
M0227;"Leddlidelse etter vaksinasjon;ankel/fot/tå"
M0228;"Leddlidelse etter vaksinasjon;andre lokalis"
M0229;"Leddlidelse etter vaksinasjon;uspes lokalis"
M023;Reiters sykdom
M0230;"Reiters sykdom;flere lokalis"
M0231;"Reiters sykdom;skulderreg"
M0232;"Reiters sykdom;overarm/albue"
M0233;"Reiters sykdom;underarm/håndl"
M0234;"Reiters sykdom;hånd/fingre"
M0235;"Reiters sykdom;bekken/lår"
M0236;"Reiters sykdom;legg/kne"
M0237;"Reiters sykdom;ankel/fot/tå"
M0238;"Reiters sykdom;andre lokalis"
M0239;"Reiters sykdom;uspes lokalis"
M028;Andre spesifiserte reaktive leddlidelser
M0280;"Andre spes reakt leddlidelser;flere lokalis"
M0281;"Andre spes reakt leddlidelser;skulderreg"
M0282;"Andre spes reakt leddlidelser;overarm/albue"
M0283;"Andre spes reakt leddlidelser;underarm/håndl"
M0284;"Andre spes reakt leddlidelser;hånd/fingre"
M0285;"Andre spes reakt leddlidelser;bekken/lår"
M0286;"Andre spes reakt leddlidelser;legg/kne"
M0287;"Andre spes reakt leddlidelser;ankel/fot/tå"
M0288;"Andre spes reakt leddlidelser;andre lokalis"
M0289;"Andre spes reakt leddlidelser;uspes lokalis"
M029;Uspesifisert reaktiv leddlidelse
M0290;"Uspes reaktiv leddlidelse;flere lokalis"
M0291;"Uspes reaktiv leddlidelse;skulderreg"
M0292;"Uspes reaktiv leddlidelse;overarm/albue"
M0293;"Uspes reaktiv leddlidelse;underarm/håndl"
M0294;"Uspes reaktiv leddlidelse;hånd/fingre"
M0295;"Uspes reaktiv leddlidelse;bekken/lår"
M0296;"Uspes reaktiv leddlidelse;legg/kne"
M0297;"Uspes reaktiv leddlidelse;ankel/fot/tå"
M0298;"Uspes reaktiv leddlidelse;andre lokalis"
M0299;"Uspes reaktiv leddlidelse;uspes lokalis"
M030;Artritt etter meningokokkinfeksjon
M0300;"Artritt e meningok inf;flere lokalis"
M0301;"Artritt e meningok inf;skulderreg"
M0302;"Artritt e meningok inf;overarm/albue"
M0303;"Artritt e meningok inf;underarm/håndl"
M0304;"Artritt e meningok inf;hånd/fingre"
M0305;"Artritt e meningok inf;bekken/lår"
M0306;"Artritt e meningok inf;legg/kne"
M0307;"Artritt e meningok inf;ankel/fot/tå"
M0308;"Artritt e meningok inf;andre lokalis"
M0309;"Artritt e meningok inf;uspes lokalis"
M031;Postinfeksiøs leddlidelse ved syfilis
M0310;"Postinf leddlidelse v/lues;flere lokalis"
M0311;"Postinf leddlidelse v/lues;skulderreg"
M0312;"Postinf leddlidelse v/lues;overarm/albue"
M0313;"Postinf leddlidelse v/lues;underarm/håndl"
M0314;"Postinf leddlidelse v/lues;hånd/fingre"
M0315;"Postinf leddlidelse v/lues;bekken/lår"
M0316;"Postinf leddlidelse v/lues;legg/kne"
M0317;"Postinf leddlidelse v/lues;ankel/fot/tå"
M0318;"Postinf leddlidelse v/lues;andre lokalis"
M0319;"Postinf leddlidelse v/lues;uspes lokalis"
M032;Andre postinfeksiøse leddlidelser ved sykd. klass. a. sted
M0320;"And postinf leddlidelser v/sykd KAS;flere lokalis"
M0321;"And postinf leddlidelser v/sykd KAS;skulderreg"
M0322;"And postinf leddlidelser v/sykd KAS;overarm/albue"
M0323;"And postinf leddlidelser v/sykd KAS;underarm/håndl"
M0324;"And postinf leddlidelser v/sykd KAS;hånd/fingre"
M0325;"And postinf leddlidelser v/sykd KAS;bekken/lår"
M0326;"And postinf leddlidelser v/sykd KAS;legg/kne"
M0327;"And postinf leddlidelser v/sykd KAS;ankel/fot/tå"
M0328;"And postinf leddlidelser v/sykd KAS;andre lokalis"
M0329;"And postinf leddlidelser v/sykd KAS;uspes lokalis"
M036;Reaktiv leddlidelse ved andre sykdommer klass. annet sted
M0360;"Reaktiv leddlidelse v/and sykd KAS;flere lokalis"
M0361;"Reaktiv leddlidelse v/and sykd KAS;skulderreg"
M0362;"Reaktiv leddlidelse v/and sykd KAS;overarm/albue"
M0363;"Reaktiv leddlidelse v/and sykd KAS;underarm/håndl"
M0364;"Reaktiv leddlidelse v/and sykd KAS;hånd/fingre"
M0365;"Reaktiv leddlidelse v/and sykd KAS;bekken/lår"
M0366;"Reaktiv leddlidelse v/and sykd KAS;legg/kne"
M0367;"Reaktiv leddlidelse v/and sykd KAS;ankel/fot/tå"
M0368;"Reaktiv leddlidelse v/and sykd KAS;andre lokalis"
M0369;"Reaktiv leddlidelse v/and sykd KAS;uspes lokalis"
M050;Feltys syndrom
M0500;"Feltys syndrom;flere lokalis"
M0501;"Feltys syndrom;skulderreg"
M0502;"Feltys syndrom;overarm/albue"
M0503;"Feltys syndrom;underarm/håndl"
M0504;"Feltys syndrom;hånd/fingre"
M0505;"Feltys syndrom;bekken/lår"
M0506;"Feltys syndrom;legg/kne"
M0507;"Feltys syndrom;ankel/fot/tå"
M0508;"Feltys syndrom;andre lokalis"
M0509;"Feltys syndrom;uspes lokalis"
M051;Reumatoid lungesykdom
M0510;"Reumatoid lungesykdom ;flere lokalis"
M0511;"Reumatoid lungesykdom ;skulderreg"
M0512;"Reumatoid lungesykdom ;overarm/albue"
M0513;"Reumatoid lungesykdom ;underarm/håndl"
M0514;"Reumatoid lungesykdom ;hånd/fingre"
M0515;"Reumatoid lungesykdom ;bekken/lår"
M0516;"Reumatoid lungesykdom ;legg/kne"
M0517;"Reumatoid lungesykdom ;ankel/fot/tå"
M0518;"Reumatoid lungesykdom ;andre lokalis"
M0519;"Reumatoid lungesykdom ;uspes lokalis"
M052;Reumatoid vaskulitt
M0520;"Reumatoid vaskulitt;flere lokalis"
M0521;"Reumatoid vaskulitt;skulderreg"
M0522;"Reumatoid vaskulitt;overarm/albue"
M0523;"Reumatoid vaskulitt;underarm/håndl"
M0524;"Reumatoid vaskulitt;hånd/fingre"
M0525;"Reumatoid vaskulitt;bekken/lår"
M0526;"Reumatoid vaskulitt;legg/kne"
M0527;"Reumatoid vaskulitt;ankel/fot/tå"
M0528;"Reumatoid vaskulitt;andre lokalis"
M0529;"Reumatoid vaskulitt;uspes lokalis"
M053;Reumatoid artritt med affeksjon av andre organer og systemer
M0530;"RA m/aff av andre organer/syst;flere lokalis"
M0531;"RA m/aff av andre organer/syst;skulderreg"
M0532;"RA m/aff av andre organer/syst;overarm/albue"
M0533;"RA m/aff av andre organer/syst;underarm/håndl"
M0534;"RA m/aff av andre organer/syst;hånd/fingre"
M0535;"RA m/aff av andre organer/syst;bekken/lår"
M0536;"RA m/aff av andre organer/syst;legg/kne"
M0537;"RA m/aff av andre organer/syst;ankel/fot/tå"
M0538;"RA m/aff av andre organer/syst;andre lokalis"
M0539;"RA m/aff av andre organer/syst;uspes lokalis"
M058;Annen spesifisert seropositiv reumatoid artritt
M0580;"Annen spes seropos RA;flere lokalis"
M0581;"Annen spes seropos RA;skulderreg"
M0582;"Annen spes seropos RA;overarm/albue"
M0583;"Annen spes seropos RA;underarm/håndl"
M0584;"Annen spes seropos RA;hånd/fingre"
M0585;"Annen spes seropos RA;bekken/lår"
M0586;"Annen spes seropos RA;legg/kne"
M0587;"Annen spes seropos RA;ankel/fot/tå"
M0588;"Annen spes seropos RA;andre lokalis"
M0589;"Annen spes seropos RA;uspes lokalis"
M059;Uspesifisert seropositiv reumatoid artritt
M0590;"Uspes seropos RA;flere lokalis"
M0591;"Uspes seropos RA;skulderreg"
M0592;"Uspes seropos RA;overarm/albue"
M0593;"Uspes seropos RA;underarm/håndl"
M0594;"Uspes seropos RA;hånd/fingre"
M0595;"Uspes seropos RA;bekken/lår"
M0596;"Uspes seropos RA;legg/kne"
M0597;"Uspes seropos RA;ankel/fot/tå"
M0598;"Uspes seropos RA;andre lokalis"
M0599;"Uspes seropos RA;uspes lokalis"
M060;Seronegativ reumatoid artritt
M0600;"Seroneg RA;flere lokalis"
M0601;"Seroneg RA;skulderreg"
M0602;"Seroneg RA;overarm/albue"
M0603;"Seroneg RA;underarm/håndl"
M0604;"Seroneg RA;hånd/fingre"
M0605;"Seroneg RA;bekken/lår"
M0606;"Seroneg RA;legg/kne"
M0607;"Seroneg RA;ankel/fot/tå"
M0608;"Seroneg RA;andre lokalis"
M0609;"Seroneg RA;uspes lokalis"
M061;Stills sykdom med debut i voksen alder
M0610;"Stills sykd m/voksendebut;flere lokalis"
M0611;"Stills sykd m/voksendebut;skulderreg"
M0612;"Stills sykd m/voksendebut;overarm/albue"
M0613;"Stills sykd m/voksendebut;underarm/håndl"
M0614;"Stills sykd m/voksendebut;hånd/fingre"
M0615;"Stills sykd m/voksendebut;bekken/lår"
M0616;"Stills sykd m/voksendebut;legg/kne"
M0617;"Stills sykd m/voksendebut;ankel/fot/tå"
M0618;"Stills sykd m/voksendebut;andre lokalis"
M0619;"Stills sykd m/voksendebut;uspes lokalis"
M062;Reumatoid bursitt
M0620;"Reumatoid bursitt;flere lokalis"
M0621;"Reumatoid bursitt;skulderreg"
M0622;"Reumatoid bursitt;overarm/albue"
M0623;"Reumatoid bursitt;underarm/håndl"
M0624;"Reumatoid bursitt;hånd/fingre"
M0625;"Reumatoid bursitt;bekken/lår"
M0626;"Reumatoid bursitt;legg/kne"
M0627;"Reumatoid bursitt;ankel/fot/tå"
M0628;"Reumatoid bursitt;andre lokalis"
M0629;"Reumatoid bursitt;uspes lokalis"
M063;Reumatoid knute
M0630;"Reumatoid knute;flere lokalis"
M0631;"Reumatoid knute;skulderreg"
M0632;"Reumatoid knute;overarm/albue"
M0633;"Reumatoid knute;underarm/håndl"
M0634;"Reumatoid knute;hånd/fingre"
M0635;"Reumatoid knute;bekken/lår"
M0636;"Reumatoid knute;legg/kne"
M0637;"Reumatoid knute;ankel/fot/tå"
M0638;"Reumatoid knute;andre lokalis"
M0639;"Reumatoid knute;uspes lokalis"
M064;Inflammatorisk leddlidelse
M0640;"Inflamm leddlidelse;flere lokalis"
M0641;"Inflamm leddlidelse;skulderreg"
M0642;"Inflamm leddlidelse;overarm/albue"
M0643;"Inflamm leddlidelse;underarm/håndl"
M0644;"Inflamm leddlidelse;hånd/fingre"
M0645;"Inflamm leddlidelse;bekken/lår"
M0646;"Inflamm leddlidelse;legg/kne"
M0647;"Inflamm leddlidelse;ankel/fot/tå"
M0648;"Inflamm leddlidelse;andre lokalis"
M0649;"Inflamm leddlidelse;uspes lokalis"
M068;Annen spesifisert reumatoid artritt
M0680;"Annen spesifisert RA;flere lokalis"
M0681;"Annen spesifisert RA;skulderreg"
M0682;"Annen spesifisert RA;overarm/albue"
M0683;"Annen spesifisert RA;underarm/håndl"
M0684;"Annen spesifisert RA;hånd/fingre"
M0685;"Annen spesifisert RA;bekken/lår"
M0686;"Annen spesifisert RA;legg/kne"
M0687;"Annen spesifisert RA;ankel/fot/tå"
M0688;"Annen spesifisert RA;andre lokalis"
M0689;"Annen spesifisert RA;uspes lokalis"
M069;Uspesifisert reumatoid artritt
M0690;"Uspesifisert reumatoid artritt;flere lokalis"
M0691;"Uspesifisert reumatoid artritt;skulderreg"
M0692;"Uspesifisert reumatoid artritt;overarm/albue"
M0693;"Uspesifisert reumatoid artritt;underarm/håndl"
M0694;"Uspesifisert reumatoid artritt;hånd/fingre"
M0695;"Uspesifisert reumatoid artritt;bekken/lår"
M0696;"Uspesifisert reumatoid artritt;legg/kne"
M0697;"Uspesifisert reumatoid artritt;ankel/fot/tå"
M0698;"Uspesifisert reumatoid artritt;andre lokalis"
M0699;"Uspesifisert reumatoid artritt;uspes lokalis"
M070;Distal interfalangeal psoriatisk leddlidelse
M0700;"Dist interfal psoriatisk leddsykd ;flere lokalis"
M0701;"Dist interfal psoriatisk leddsykd ;skulderreg"
M0702;"Dist interfal psoriatisk leddsykd ;overarm/albue"
M0703;"Dist interfal psoriatisk leddsykd ;underarm/håndl"
M0704;"Dist interfal psoriatisk leddsykd ;hånd/fingre"
M0705;"Dist interfal psoriatisk leddsykd ;bekken/lår"
M0706;"Dist interfal psoriatisk leddsykd ;legg/kne"
M0707;"Dist interfal psoriatisk leddsykd ;ankel/fot/tå"
M0708;"Dist interfal psoriatisk leddsykd ;andre lokalis"
M0709;"Dist interfal psoriatisk leddsykd ;uspes lokalis"
M071;Arthritis mutilans
M0710;"Arthritis mutilans ;flere lokalis"
M0711;"Arthritis mutilans ;skulderreg"
M0712;"Arthritis mutilans ;overarm/albue"
M0713;"Arthritis mutilans ;underarm/håndl"
M0714;"Arthritis mutilans ;hånd/fingre"
M0715;"Arthritis mutilans ;bekken/lår"
M0716;"Arthritis mutilans ;legg/kne"
M0717;"Arthritis mutilans ;ankel/fot/tå"
M0718;"Arthritis mutilans ;andre lokalis"
M0719;"Arthritis mutilans ;uspes lokalis"
M072;Psoriatisk spondylitt
M0720;"Psoriatisk spondylitt;flere lokalis"
M0721;"Psoriatisk spondylitt;skulderreg"
M0722;"Psoriatisk spondylitt;overarm/albue"
M0723;"Psoriatisk spondylitt;underarm/håndl"
M0724;"Psoriatisk spondylitt;hånd/fingre"
M0725;"Psoriatisk spondylitt;bekken/lår"
M0726;"Psoriatisk spondylitt;legg/kne"
M0727;"Psoriatisk spondylitt;ankel/fot/tå"
M0728;"Psoriatisk spondylitt;andre lokalis"
M0729;"Psoriatisk spondylitt;uspes lokalis"
M073;Andre psoriatiske leddlidelser
M0730;"Andre psoriatiske leddlidelser;flere lokalis"
M0731;"Andre psoriatiske leddlidelser;skulderreg"
M0732;"Andre psoriatiske leddlidelser;overarm/albue"
M0733;"Andre psoriatiske leddlidelser;underarm/håndl"
M0734;"Andre psoriatiske leddlidelser;hånd/fingre"
M0735;"Andre psoriatiske leddlidelser;bekken/lår"
M0736;"Andre psoriatiske leddlidelser;legg/kne"
M0737;"Andre psoriatiske leddlidelser;ankel/fot/tå"
M0738;"Andre psoriatiske leddlidelser;andre lokalis"
M0739;"Andre psoriatiske leddlidelser;uspes lokalis"
M074;Leddlidelse ved Crohns sykdom
M0740;"Leddlidelse ved mb Crohn;flere lokalis"
M0741;"Leddlidelse ved mb Crohn;skulderreg"
M0742;"Leddlidelse ved mb Crohn;overarm/albue"
M0743;"Leddlidelse ved mb Crohn;underarm/håndl"
M0744;"Leddlidelse ved mb Crohn;hånd/fingre"
M0745;"Leddlidelse ved mb Crohn;bekken/lår"
M0746;"Leddlidelse ved mb Crohn;legg/kne"
M0747;"Leddlidelse ved mb Crohn;ankel/fot/tå"
M0748;"Leddlidelse ved mb Crohn;andre lokalis"
M0749;"Leddlidelse ved mb Crohn;uspes lokalis"
M075;Leddlidelse ved ulcerøs kolitt
M0750;"Leddlidelse v/ulcerøs kolitt ;flere lokalis"
M0751;"Leddlidelse v/ulcerøs kolitt ;skulderreg"
M0752;"Leddlidelse v/ulcerøs kolitt ;overarm/albue"
M0753;"Leddlidelse v/ulcerøs kolitt ;underarm/håndl"
M0754;"Leddlidelse v/ulcerøs kolitt ;hånd/fingre"
M0755;"Leddlidelse v/ulcerøs kolitt ;bekken/lår"
M0756;"Leddlidelse v/ulcerøs kolitt ;legg/kne"
M0757;"Leddlidelse v/ulcerøs kolitt ;ankel/fot/tå"
M0758;"Leddlidelse v/ulcerøs kolitt ;andre lokalis"
M0759;"Leddlidelse v/ulcerøs kolitt ;uspes lokalis"
M076;Andre leddlidelser ved inflammatorisk tarmsykdom
M0760;"And leddlidelser v/inflamm tarmsykd ;flere lokalis"
M0761;"And leddlidelser v/inflamm tarmsykd ;skulderreg"
M0762;"And leddlidelser v/inflamm tarmsykd ;overarm/albue"
M0763;"And leddlidelser v/inflamm tarmsykd ;underarm/håndl"
M0764;"And leddlidelser v/inflamm tarmsykd ;hånd/fingre"
M0765;"And leddlidelser v/inflamm tarmsykd ;bekken/lår"
M0766;"And leddlidelser v/inflamm tarmsykd ;legg/kne"
M0767;"And leddlidelser v/inflamm tarmsykd ;ankel/fot/tå"
M0768;"And leddlidelser v/inflamm tarmsykd ;andre lokalis"
M0769;"And leddlidelser v/inflamm tarmsykd ;uspes lokalis"
M080;Juvenil reumatoid artritt
M0800;"Juvenil RA;flere lokalis"
M0801;"Juvenil RA;skulderreg"
M0802;"Juvenil RA;overarm/albue"
M0803;"Juvenil RA;underarm/håndl"
M0804;"Juvenil RA;hånd/fingre"
M0805;"Juvenil RA;bekken/lår"
M0806;"Juvenil RA;legg/kne"
M0807;"Juvenil RA;ankel/fot/tå"
M0808;"Juvenil RA;andre lokalis"
M0809;"Juvenil RA;uspes lokalis"
M081;Juvenil ankyloserende spondylitt
M0810;"Juvenil ankylos spondyl;flere lokalis"
M0811;"Juvenil ankylos spondyl;skulderreg"
M0812;"Juvenil ankylos spondyl;overarm/albue"
M0813;"Juvenil ankylos spondyl;underarm/håndl"
M0814;"Juvenil ankylos spondyl;hånd/fingre"
M0815;"Juvenil ankylos spondyl;bekken/lår"
M0816;"Juvenil ankylos spondyl;legg/kne"
M0817;"Juvenil ankylos spondyl;ankel/fot/tå"
M0818;"Juvenil ankylos spondyl;andre lokalis"
M0819;"Juvenil ankylos spondyl;uspes lokalis"
M082;Juvenil artritt med systemisk opprinnelse
M0820;"Juvenil artritt m/system oppr;flere lokalis"
M0821;"Juvenil artritt m/system oppr;skulderreg"
M0822;"Juvenil artritt m/system oppr;overarm/albue"
M0823;"Juvenil artritt m/system oppr;underarm/håndl"
M0824;"Juvenil artritt m/system oppr;hånd/fingre"
M0825;"Juvenil artritt m/system oppr;bekken/lår"
M0826;"Juvenil artritt m/system oppr;legg/kne"
M0827;"Juvenil artritt m/system oppr;ankel/fot/tå"
M0828;"Juvenil artritt m/system oppr;andre lokalis"
M0829;"Juvenil artritt m/system oppr;uspes lokalis"
M083;Juvenil polyartritt seronegativ
M0830;"Juvenil polyartritt seroneg;flere lokalis"
M0831;"Juvenil polyartritt seroneg;skulderreg"
M0832;"Juvenil polyartritt seroneg;overarm/albue"
M0833;"Juvenil polyartritt seroneg;underarm/håndl"
M0834;"Juvenil polyartritt seroneg;hånd/fingre"
M0835;"Juvenil polyartritt seroneg;bekken/lår"
M0836;"Juvenil polyartritt seroneg;legg/kne"
M0837;"Juvenil polyartritt seroneg;ankel/fot/tå"
M0838;"Juvenil polyartritt seroneg;andre lokalis"
M0839;"Juvenil polyartritt seroneg;uspes lokalis"
M084;Pauciartikulær juvenil artritt
M0840;"Pauciartikulær juv artritt;flere lokalis"
M0841;"Pauciartikulær juv artritt;skulderreg"
M0842;"Pauciartikulær juv artritt;overarm/albue"
M0843;"Pauciartikulær juv artritt;underarm/håndl"
M0844;"Pauciartikulær juv artritt;hånd/fingre"
M0845;"Pauciartikulær juv artritt;bekken/lår"
M0846;"Pauciartikulær juv artritt;legg/kne"
M0847;"Pauciartikulær juv artritt;ankel/fot/tå"
M0848;"Pauciartikulær juv artritt;andre lokalis"
M0849;"Pauciartikulær juv artritt;uspes lokalis"
M088;Annen spesifisert juvenil artritt
M0880;"Annen spes juv artritt;flere lokalis"
M0881;"Annen spes juv artritt;skulderreg"
M0882;"Annen spes juv artritt;overarm/albue"
M0883;"Annen spes juv artritt;underarm/håndl"
M0884;"Annen spes juv artritt;hånd/fingre"
M0885;"Annen spes juv artritt;bekken/lår"
M0886;"Annen spes juv artritt;legg/kne"
M0887;"Annen spes juv artritt;ankel/fot/tå"
M0888;"Annen spes juv artritt;andre lokalis"
M0889;"Annen spes juv artritt;uspes lokalis"
M089;Uspesifisert juvenil artritt
M0890;"Uspesifisert juv artritt;flere lokalis"
M0891;"Uspesifisert juv artritt;skulderreg"
M0892;"Uspesifisert juv artritt;overarm/albue"
M0893;"Uspesifisert juv artritt;underarm/håndl"
M0894;"Uspesifisert juv artritt;hånd/fingre"
M0895;"Uspesifisert juv artritt;bekken/lår"
M0896;"Uspesifisert juv artritt;legg/kne"
M0897;"Uspesifisert juv artritt;ankel/fot/tå"
M0898;"Uspesifisert juv artritt;andre lokalis"
M0899;"Uspesifisert juv artritt;uspes lokalis"
M090;Juvenil artritt ved psoriasis
M0900;"Juvenil artritt v/psoriasis;flere lokalis"
M0901;"Juvenil artritt v/psoriasis;skulderreg"
M0902;"Juvenil artritt v/psoriasis;overarm/albue"
M0903;"Juvenil artritt v/psoriasis;underarm/håndl"
M0904;"Juvenil artritt v/psoriasis;hånd/fingre"
M0905;"Juvenil artritt v/psoriasis;bekken/lår"
M0906;"Juvenil artritt v/psoriasis;legg/kne"
M0907;"Juvenil artritt v/psoriasis;ankel/fot/tå"
M0908;"Juvenil artritt v/psoriasis;andre lokalis"
M0909;"Juvenil artritt v/psoriasis;uspes lokalis"
M091;Juvenil artritt ved Crohns sykdom
M0910;"Juvenil artritt ved mb Crohn;flere lokalis"
